tr, amp, labels
96.8448,30289.3,carbon
160.96,9537.74,alpha
106.496,5367.07,carbon
100.254,5388.72,carbon
97.4308,4226.07,carbon
91.8361,4885.33,carbon
91.0129,7141.91,carbon
97.4752,4493.11,carbon
95.0434,11938.8,carbon
91.9404,9780.69,carbon
89.9963,11323.8,carbon
95.8224,10476.8,carbon
97.2148,10980.8,carbon
224.716,10187.4,alpha
96.5412,7324.04,carbon
93.5034,5961.2,carbon
102.827,12912,carbon
112.602,9010.21,carbon
111.716,10647.8,carbon
95.4525,10540.1,carbon
218.892,9770.14,alpha
193.62,10993.4,alpha
82.4189,4857.54,carbon
100.046,13256.2,carbon
112.85,6344.85,carbon
111.131,9705.07,carbon
102.206,11370.2,carbon
158.792,11413.6,alpha
95.246,6301.52,carbon
105.907,6263.58,carbon
100.083,6438.84,carbon
98.1852,6549.08,carbon
100.367,4318.22,carbon
203.117,9036.85,alpha
91.8566,9678.04,carbon
101.405,8816.89,carbon
97.9809,5271.94,carbon
86.3595,4907.68,carbon
98.2743,8814.75,carbon
85.7751,4672.03,carbon
99.8775,7792.84,carbon
101.543,10393.1,carbon
98.0905,3851.89,carbon
91.3238,4477.84,carbon
104.506,10557.6,carbon
178.53,7536.36,alpha
91.9994,9073.77,carbon
109.397,8398.54,carbon
111.766,4716.64,carbon
105.4,10406.2,carbon
88.0721,6175.56,carbon
98.5987,4137.67,carbon
116.566,6523.45,carbon
94.7422,9920.29,carbon
102.105,10922.2,carbon
96.8536,6415.61,carbon
100.232,5884.78,carbon
93.9496,4129.69,carbon
183.217,9701.44,alpha
104.013,8845.88,carbon
93.703,5485.66,carbon
92.7576,9999.45,carbon
104.98,10947.9,carbon
110.035,3859.4,carbon
102.602,7184.67,carbon
94.9169,8741.28,carbon
94.4006,22321.9,carbon
91.6173,8394.25,carbon
106.724,6365.73,carbon
109.862,6045.88,carbon
199.804,9847.37,alpha
98.256,6909.72,carbon
106.099,9910.42,carbon
98.9412,9448.12,carbon
187.448,7671.93,alpha
95.0028,4190.95,carbon
94.387,10593.9,carbon
225.222,20921.2,2alphas
422.051,6567.68,others
97.8138,7832.94,carbon
106.555,7264.28,carbon
95.9571,10088.6,carbon
108.71,7736.91,carbon
101.359,8602.33,carbon
99.3558,7438.27,carbon
97.19,12934.8,carbon
92.5963,6002.27,carbon
107.863,5403.17,carbon
252.135,10509.8,alpha
105.895,8557.91,carbon
105.913,6786.13,carbon
77.3421,7636.03,carbon
93.8787,4409.69,carbon
104.782,7839.65,carbon
99.1073,7223.02,carbon
171.06,9993.66,alpha
95.1753,7399.94,carbon
98.9957,16898.6,carbon
166.556,6413.03,alpha
85.4655,5125.33,carbon
90.866,6602.46,carbon
101.675,6376.84,carbon
97.1151,4675.21,carbon
99.5056,7624.8,carbon
87.0034,4416.62,carbon
101.028,6832.93,carbon
100.408,11767.7,carbon
154.541,9818.78,alpha
134.107,9766.66,alpha
103.732,12858.6,carbon
103.445,3750.73,carbon
97.0101,12247,carbon
96.3253,14829.6,carbon
95.8914,32357.5,carbon
212.031,8793.9,alpha
94.3782,8235.58,carbon
96.6894,8303.13,carbon
102.495,4878.63,carbon
94.1198,14012.7,carbon
106.567,5692.38,carbon
98.179,5388.13,carbon
92.84,5972.04,carbon
103.568,9078.6,carbon
102.288,26789.5,carbon
91.7851,12756.7,carbon
230.551,10731.7,alpha
98.4138,10497.6,carbon
105.727,11809.2,carbon
104.238,7101.47,carbon
